id,key,value,type
277763655,highway,unclassified,regular
277764572,highway,residential,regular
277766112,highway,residential,regular
277767014,highway,residential,regular
277770625,natural,wood,regular
277774110,highway,residential,regular
277776619,highway,residential,regular
277779277,highway,residential,regular
277781576,highway,residential,regular
277782367,highway,residential,regular
279498680,building,residential,regular
279498680,street,Magulumbas A,addr
279498680,levels,4,building
279498680,material,cement_block,building
280225199,highway,residential,regular
280232726,name,Mwembe Karata Street,regular
280232726,highway,residential,regular
282058489,highway,residential,regular
282063714,highway,track,regular
282064318,highway,residential,regular
282068581,highway,residential,regular
282074372,highway,unclassified,regular
282301546,highway,residential,regular
282301546,surface,unpaved,regular
284445648,waterway,stream,regular
284953353,building,industrial,regular
284953353,levels,1,building
284953353,material,cement_block,building
285690035,highway,unclassified,regular
285690035,surface,sand,regular
285696188,highway,residential,regular
285696188,surface,unpaved,regular
289073552,highway,unclassified,regular
289073552,name,Saranga Road,regular
289073552,oneway,no,regular
289073552,surface,unpaved,regular
289076987,highway,tertiary,regular
296421441,building,yes,regular
302774565,name,bungalow 10,regular
302774565,building,yes,regular
303926056,name,Sea Horse Bar,regular
303926056,amenity,bar,regular
303926056,building,commercial,regular
303926056,street,Br.Lupaso Crescent Street,addr
303926056,opening_hours,11:00-22:30,regular
303926056,levels,1,building
303926056,material,cement_block,building
305412823,name,Sam Nujoma Road,regular
305412823,oneway,yes,regular
305412823,highway,primary,regular
307494757,highway,residential,regular
309867650,highway,residential,regular
309867650,surface,unpaved,regular
314020913,name,Salasala Road,regular
314020913,highway,residential,regular
314022569,highway,residential,regular
314026634,highway,residential,regular
314026634,surface,unpaved,regular
314030025,highway,residential,regular
314030025,surface,unpaved,regular
314031944,highway,residential,regular
314031944,surface,unpaved,regular
314032900,highway,residential,regular
323024656,source,msd.or.tz & deliver.jsi.com,regular
323024656,highway,unclassified,regular
323024656,surface,unpaved,regular
323024656,date,2014..2015,source
323204012,highway,residential,regular
323204038,highway,residential,regular
323204059,highway,residential,regular
323204078,highway,residential,regular
323204100,highway,residential,regular
323207585,highway,residential,regular
323212117,highway,residential,regular
323212569,highway,residential,regular
323212590,highway,residential,regular
323212871,highway,residential,regular
323223144,highway,residential,regular
323230592,highway,residential,regular
323231821,highway,residential,regular
323231821,surface,unpaved,regular
323241845,highway,unclassified,regular
323241845,surface,unpaved,regular
323466137,highway,residential,regular
323466137,surface,unpaved,regular
328050646,name,Saint John The Baptist,regular
328050646,building,public,regular
328050646,religion,christian,regular
328050646,levels,2,building
328050646,material,cement_block,building
331344500,source,Bing,regular
331344500,building,yes,regular
331350490,highway,unclassified,regular
332375160,name,Nyumbu Street,regular
332375160,highway,residential,regular
334489630,building,commercial,regular
334489630,street,Kagera Shimo la Udongo,addr
334489630,levels,1,building
334489630,material,cement_block,building
334718190,bus,yes,regular
334718190,name,Argentina,regular
334718190,amenity,bus_station,regular
334718190,building,yes,regular
334718190,operator,DART,regular
334718190,wheelchair,yes,regular
334718190,levels,1,building
334718190,public_transport,platform,regular
334728275,bus,yes,regular
334728275,name,Mkwajuni,regular
334728275,amenity,bus_station,regular
334728275,covered,yes,regular
334728275,building,yes,regular
334728275,operator,DART,regular
334728275,wheelchair,yes,regular
334728275,levels,1,building
334728275,public_transport,platform,regular
334993407,building,residential,regular
334993407,street,Kibaya Street,addr
334993407,levels,1,building
334993407,housenumber,2,addr
334993407,material,cement_block,building
334995434,covered,yes,regular
334995434,waterway,drain,regular
334997220,building,residential,regular
334997220,street,Pongwe Street,addr
334997220,levels,1,building
334997220,housenumber,10,addr
334997220,material,cement_block,building
334999319,building,commercial;residential,regular
334999319,street,Babati Street,addr
334999319,levels,1,building
334999319,housenumber,3,addr
334999319,material,cement_block,building
334999338,building,residential,regular
334999338,street,Babati Street,addr
334999338,levels,1,building
334999338,housenumber,11,addr
334999338,material,cement_block,building
335068614,building,commercial,regular
335068614,street,Pongwe Street,addr
335068614,levels,1,building
335068614,material,cement_block,building
335076576,building,residential,regular
335076576,street,Kaliua Street,addr
335076576,levels,1,building
335076576,material,cement_block,building
335076600,building,residential,regular
335076600,street,Mufindi Street,addr
335076600,levels,1,building
335076600,material,cement_block,building
335090932,access,yes,regular
335090932,amenity,parking_space,regular
335090932,parking,surface,regular
335090932,surface,concrete,regular
335090932,smoothness,excellent,regular
335093288,building,commercial;residential,regular
335093288,street,Kagera,addr
335093288,levels,1,building
335093288,housenumber,10,addr
335093288,material,cement_block,building
335188482,name,Car Garage,regular
335188482,shop,car_repair,regular
335188482,street,Mlali Street,addr
335194001,building,residential,regular
335194001,levels,1,building
335194001,material,cement_block,building
335194257,building,commercial,regular
335194257,street,Zinga Street,addr
335194257,levels,1,building
335194257,material,cement_block,building
335194275,waterway,drain,regular
335195398,building,residential,regular
335195398,levels,1,building
335195398,material,cement_block,building
335195416,building,residential,regular
335195416,levels,1,building
335195416,material,cement_block,building
335195435,building,residential,regular
335195435,levels,1,building
335195435,material,cement_block,building
335195454,building,residential,regular
335195454,street,Babati Street,addr
335195454,levels,1,building
335195454,housenumber,4,addr
335195454,material,cement_block,building
335196107,building,residential,regular
335196107,street,Lalago Street,addr
335196107,levels,1,building
335196107,housenumber,16,addr
335196107,material,cement_block,building
335196125,building,residential,regular
335196125,street,Lalago Street,addr
335196125,levels,1,building
335196125,housenumber,18,addr
335196125,material,cement_block,building
335196143,building,residential,regular
335196143,street,Kalisa Street,addr
335196143,levels,1,building
335196143,material,cement_block,building
335338652,building,commercial,regular
335338652,levels,1,building
335338652,material,cement_block,building
335384839,name,Mtaa Mdogo Street,regular
335384839,highway,residential,regular
335403223,highway,residential,regular
335403223,name,Mkwawa Street,regular
335403223,smoothness,intermediate,regular
335403223,surface,unpaved,regular
